Month,Year,Borough,ViolenceAgainstPerson_Murder,ViolenceAgainstPerson_WoundingGBH,ViolenceAgainstPerson_AssaultWithInjury,ViolenceAgainstPerson_CommonAssault,ViolenceAgainstPerson_OffensiveWeapon,ViolenceAgainstPerson_Harassment,ViolenceAgainstPerson_OtherViolence,Sexual_Rape,Sexual_OtherSexual,Robbery_PersonalProperty,Robbery_BusinessProperty,Burglary_Dwelling,Burglary_OtherBuildings,Theft_TakingOfMotorVehicle,Theft_FromMotorVehicle,Theft_MotorVehicleTampering,Theft_FromShops,Theft_Person,Theft_TakingOfPedalCycles,Theft_OtherTheft,Theft_HandlingStolenGoods,FraudForgery_CountedPerVictim,FraudForgery_OtherFraudForgery,CriminalDamage_Dwelling,CriminalDamage_OtherBuildings,CriminalDamage_MotorVehicle,CriminalDamage_OtherCriminalDamage,Drugs_DrugTrafficking,Drugs_PossessionOfDrugs,Drugs_OtherDrugs,OtherNotifiableOffences_GoingEquipped,OtherNotifiableOffences_OtherNotifiable,Males00-20,Males00-20,Males21-40,Males41-60,Males61+,Females00-20,Females21-40,Females41-60,Females61+,PoliceOfficer,PoliceSergeant,SpecialPoliceConstable,PoliceCommunitySupportOfficer,PoliceStaff,UnemployedMale18-24,UnemployedMale25-44,UnemployedMale45-64,UnemployedFemale18-24,UnemployedFemale25-44,UnemployedFemale45-64,PublicAttitudeSurvey_FearofCrime%
NOV,2015,Barking&Dagenham,0,70,126,131,8,136,35,15,35,39,4,111,36,67,81,16,81,35,13,184,1,0,0,36,16,80,34,4,80,0,0,28,36040,36040,30561,23728,11436,33607,33458,24582,14797,496,39,86,39,15,840,2040,1545,645,1935,1275,46
NOV,2015,Barnet,0,50,134,160,9,242,20,14,24,43,5,342,97,80,219,38,107,62,16,282,2,0,4,25,15,78,39,3,60,0,1,27,54146,54146,61101,47689,30324,50465,61835,50360,37741,523,41,113,50,13,630,2280,2175,435,1920,1635,40
NOV,2015,Bexley,1,34,93,92,4,118,18,8,18,10,2,83,27,48,85,20,73,17,8,129,0,0,0,35,14,68,24,2,36,1,1,19,34427,34427,31256,32867,22801,32930,33951,35015,28610,367,39,65,44,12,750,1230,1035,570,1230,825,37
NOV,2015,Brent,2,93,179,220,13,197,56,3,39,114,13,205,87,70,224,71,121,77,32,255,5,0,1,40,25,67,44,7,159,2,5,33,46034,46034,61121,41083,22316,42872,56140,41240,25995,587,48,83,23,18,825,4080,3750,630,2685,2685,45
NOV,2015,Bromley,0,47,106,155,7,212,22,11,18,28,5,165,69,57,114,18,150,28,10,200,1,0,2,40,13,86,41,6,84,0,3,27,43347,43347,41114,45569,32078,41147,45213,48382,40492,479,37,73,54,4,690,1455,1395,435,1215,1080,28
NOV,2015,Camden,0,78,133,200,6,233,15,17,34,55,5,173,108,76,124,27,115,217,91,500,1,0,3,27,33,64,47,2,118,1,1,39,28875,28875,49103,28317,16335,28156,48710,27283,19809,658,50,146,31,12,705,2040,1845,495,1335,1230,36
NOV,2015,Croydon,0,91,209,251,11,307,40,27,43,75,9,179,74,72,183,45,171,46,18,266,3,0,6,61,21,122,73,10,74,1,1,50,56047,56047,55269,51038,29291,54025,59056,54499,35617,714,55,96,37,16,1560,3420,3075,915,2610,2100,43
NOV,2015,Ealing,0,73,138,204,12,275,46,15,38,52,2,201,61,60,184,33,164,59,29,287,4,0,6,32,25,94,43,5,79,1,1,47,48986,48986,61386,45191,24707,46203,58591,45137,29023,675,55,100,35,18,915,4200,3000,570,2775,2055,40
NOV,2015,Enfield,0,58,134,168,3,209,26,16,26,86,11,252,51,63,191,43,88,50,37,197,7,0,2,34,8,67,48,18,86,0,2,35,50625,50625,48416,42047,24560,47181,52336,45411,30227,549,42,108,41,10,855,2715,2445,660,2670,1995,44
NOV,2015,Greenwich,0,79,154,191,4,263,16,14,38,29,9,120,62,79,118,16,122,55,24,210,2,0,7,42,23,74,35,5,58,0,1,40,40090,40090,50126,34040,17086,37780,48288,34098,20604,599,50,104,30,15,1350,2910,2265,1005,2400,1620,30
