Tube Line,From Station,To Station
Bakerloo,Harrow and Wealdstone,Kenton
Bakerloo,Paddington,Edgware Road (Bakerloo)
Bakerloo,Edgware Road (Bakerloo),Marylebone
Bakerloo,Marylebone,Baker Street
Bakerloo,Baker Street,Regents Park
Bakerloo,Regents Park,Oxford Circus
Bakerloo,Oxford Circus,Piccadilly Circus
Bakerloo,Piccadilly Circus,Charing Cross
Bakerloo,Charing Cross,Embankment
Bakerloo,Embankment,Waterloo
Bakerloo,Waterloo,Lambeth North
Bakerloo,Lambeth North,Elephant and Castle
Bakerloo,Warwick Avenue,Paddington
Bakerloo,Maida Vale,Warwick Avenue
Bakerloo,Kenton,South Kenton
Bakerloo,South Kenton,North Wembley
Bakerloo,North Wembley,Wembley Central
Bakerloo,Wembley Central,Stonebridge Park
Bakerloo,Stonebridge Park,Harlesden
Bakerloo,Harlesden,Willesden Junction
Bakerloo,Willesden Junction,Kensal Green
Bakerloo,Kensal Green,Queens Park
Bakerloo,Queens Park,Kilburn Park
Bakerloo,Kilburn Park,Maida Vale
Central,North Acton,West Acton
Central,West Acton,Ealing Broadway
Central,North Acton,Hanger Lane
Central,Hanger Lane,Perivale
Central,Perivale,Greenford
Central,Greenford,Northolt
Central,Northolt,South Ruislip
Central,South Ruislip,Ruislip Gardens
Central,Ruislip Gardens,West Ruislip
Central,Theydon Bois,Debden
Central,Redbridge,Gants Hill
Central,East Acton,North Acton
Central,White City,East Acton
Central,Shepherds Bush,White City
Central,Leytonstone,Leyton
Central,Chigwell,Roding Valley
Central,Grange Hill,Chigwell
Central,Hainault,Grange Hill
Central,Fairlop,Hainault
Central,Barkingside,Fairlop
Central,Newbury Park,Barkingside
Central,Gants Hill,Newbury Park
Central,Wanstead,Redbridge
Central,Leytonstone,Wanstead
Central,Snaresbrook,Leytonstone
Central,South Woodford,Snaresbrook
Central,Woodford,South Woodford
Central,Buckhurst Hill,Woodford
Central,Loughton,Buckhurst Hill
Central,Epping,Theydon Bois
Central,Leyton,Stratford
Central,Stratford,Mile End
Central,Holland Park,Shepherds Bush
Central,Notting Hill Gate,Holland Park
Central,Queensway,Notting Hill Gate
Central,Lancaster Gate,Queensway
Central,Marble Arch,Lancaster Gate
Central,Bond Street,Marble Arch
Central,Oxford Circus,Bond Street
Central,Tottenham Court Road,Oxford Circus
Central,Chancery Lane,Holborn
Central,Holborn,Tottenham Court Road
