"","CrimeID","Month","Reportedby","Fallswithin","Longitude","Latitude","Location","LSOAcode","LSOAname","Crimetype","Lastoutcomecategory","Context","Station","StationDistance","LocalAuthority","ISOMonth"
"1",NA,"2011-06","British Transport Police","British Transport Police",-0.271604,50.8344,"On or near Shoreham By Sea","E01031365","Adur 002D","Anti-social behaviour",NA,NA,"Tadworth",50.9022864458768,"Adur",2011-06-01
"2",NA,"2011-06","British Transport Police","British Transport Police",-0.488504,50.8164,"On or near Angmering","E01031415","Arun 005D","Violent crime",NA,NA,"Cobham & Stoke D'Abernon",56.2451844675468,"Arun",2011-06-01
"3",NA,"2011-06","British Transport Police","British Transport Police",-0.546132,50.8102,"On or near Littlehampton","E01031428","Arun 011B","Anti-social behaviour",NA,NA,"Cobham & Stoke D'Abernon",57.560100125464,"Arun",2011-06-01
"4",NA,"2011-06","British Transport Police","British Transport Police",-0.546132,50.8102,"On or near Littlehampton","E01031428","Arun 011B","Anti-social behaviour",NA,NA,"Cobham & Stoke D'Abernon",57.560100125464,"Arun",2011-06-01
"5",NA,"2011-06","British Transport Police","British Transport Police",-1.19628,53.0381,"On or near Hucknall","E01027931","Ashfield 013B","Anti-social behaviour",NA,NA,"Chesham",153.417316234405,"Ashfield",2011-06-01
"6",NA,"2011-06","British Transport Police","British Transport Police",0.87513,51.1433,"On or near Ashford","E01024027","Ashford 005D","Anti-social behaviour",NA,NA,"Chafford Hundred",55.8244941120004,"Ashford",2011-06-01
"7",NA,"2011-06","British Transport Police","British Transport Police",-0.815362,51.8136,"On or near Aylesbury","E01017712","Aylesbury Vale 018D","Violent crime",NA,NA,"Chesham",18.4887986231745,"Aylesbury Vale",2011-06-01
"8",NA,"2011-06","British Transport Police","British Transport Police",-0.815362,51.8136,"On or near Aylesbury","E01017712","Aylesbury Vale 018D","Violent crime",NA,NA,"Chesham",18.4887986231745,"Aylesbury Vale",2011-06-01
"9",NA,"2011-06","British Transport Police","British Transport Police",-0.815362,51.8136,"On or near Aylesbury","E01017712","Aylesbury Vale 018D","Violent crime",NA,NA,"Chesham",18.4887986231745,"Aylesbury Vale",2011-06-01
"10",NA,"2011-06","British Transport Police","British Transport Police",-0.942636,51.7711,"On or near Haddenham & Thame Parkway","E01017675","Aylesbury Vale 022A","Vehicle crime",NA,NA,"Chesham",23.9493311018639,"Aylesbury Vale",2011-06-01
"11",NA,"2011-06","British Transport Police","British Transport Police",0.165776,51.5442,"On or near Dagenham East","E01000036","Barking and Dagenham 010B","Anti-social behaviour",NA,NA,"Dagenham East",0.00516490048069272,"Barking and Dagenham",2011-06-01
"12",NA,"2011-06","British Transport Police","British Transport Police",0.165776,51.5442,"On or near Dagenham East","E01000036","Barking and Dagenham 010B","Anti-social behaviour",NA,NA,"Dagenham East",0.00516490048069272,"Barking and Dagenham",2011-06-01
"13",NA,"2011-06","British Transport Police","British Transport Police",0.147617,51.5417,"On or near Dagenham Heathway","E01000013","Barking and Dagenham 013A","Anti-social behaviour",NA,NA,"Dagenham Heathway",0.0545499189130096,"Barking and Dagenham",2011-06-01
"14",NA,"2011-06","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Anti-social behaviour",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-06-01
"15",NA,"2011-06","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Violent crime",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-06-01
"16",NA,"2011-06","British Transport Police","British Transport Police",0.080333,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Violent crime",NA,NA,"Barking",0.0355586765323643,"Barking and Dagenham",2011-06-01
"17",NA,"2011-06","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Violent crime",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-06-01
"18",NA,"2011-06","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Other crime",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-06-01
"19",NA,"2011-06","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Other crime",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-06-01
"20",NA,"2011-06","British Transport Police","British Transport Police",0.099833,51.5378,"On or near Upney","E01000040","Barking and Dagenham 019A","Anti-social behaviour",NA,NA,"Upney",0.136287286704323,"Barking and Dagenham",2011-06-01
"21",NA,"2011-06","British Transport Police","British Transport Police",-0.179222,51.6306,"On or near Totteridge And Whetstone","E01000282","Barnet 008E","Vehicle crime",NA,NA,"Totteridge & Whetstone",0.0401135188082831,"Barnet",2011-06-01
"22",NA,"2011-06","British Transport Police","British Transport Police",-0.248722,51.6126,"On or near Mill Hill Broadway","E01000258","Barnet 016B","Robbery",NA,NA,"Mill Hill Broadway",0.0629704871957286,"Barnet",2011-06-01
"23",NA,"2011-06","British Transport Police","British Transport Police",-0.209922,51.6083,"On or near Mill Hill East","E01000257","Barnet 017B","Anti-social behaviour",NA,NA,"Mill Hill East",0.00336825924953451,"Barnet",2011-06-01
"24",NA,"2011-06","British Transport Police","British Transport Police",-0.27477,51.6136,"On or near Edgware","E01000194","Barnet 018C","Anti-social behaviour",NA,NA,"Edgware",0.0731977071928867,"Barnet",2011-06-01
