NLC,Origin TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1415 Entries & Exits,1314 Entries & Exits,Interchanges,Large station Flag,Small Station Flag,Explanation of large change,Sources,
5131,ABW,Abbey Wood,London,Greater London,Greenwich,UKI2,Outer London,Southeastern,,,London Travelcard Area Station," 332,510 "," 435,776 "," 891,418 "," 1,659,704 "," 332,510 "," 435,776 "," 891,418 "," 1,659,704 "," 3,319,408 "," 3,282,240 ", -   ,0,0,,,
3813,ABE,Aber,Wales - Cymru,Caerphilly - Caerffili,Caerphilly - Caerffili,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 46,815 "," 3,371 "," 56,087 "," 106,273 "," 46,815 "," 3,371 "," 56,087 "," 106,273 "," 212,546 "," 219,868 ", -   ,0,0,,,
3801,ACY,Abercynon,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 73,186 "," 6,716 "," 52,827 "," 132,729 "," 73,186 "," 6,716 "," 52,827 "," 132,729 "," 265,458 "," 251,688 "," 40,847 ",0,0,,,
3982,ABA,Aberdare,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 160,625 "," 19,037 "," 96,302 "," 275,964 "," 160,625 "," 19,037 "," 96,302 "," 275,964 "," 551,928 "," 557,992 ", -   ,0,0,,,
8976,ABD,Aberdeen,Scotland,Aberdeen City,Aberdeen City,UKM1,North Eastern Scotland,ScotRail,,,," 654,309 "," 891,364 "," 325,650 "," 1,871,323 "," 654,309 "," 891,364 "," 325,650 "," 1,871,323 "," 3,742,646 "," 3,600,268 "," 219,002 ",0,0,,,
9090,AUR,Aberdour,Scotland,Fife,Fife,UKM2,Eastern Scotland,ScotRail,,,," 19,038 "," 29,191 "," 16,508 "," 64,737 "," 19,038 "," 29,191 "," 16,508 "," 64,737 "," 129,474 "," 127,470 ", -   ,0,0,,,
4435,AVY,Aberdovey,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 14,127 "," 4,215 ", -   ," 18,342 "," 14,127 "," 4,215 ", -   ," 18,342 "," 36,684 "," 34,450 ", -   ,0,0,,,
4440,ABH,Abererch,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,, 116 , 47 , -   , 163 , 116 , 47 , -   , 163 , 326 ," 1,380 ", -   ,0,1,Very small station - Cambrian Coast Line. closed at start of 14/15 FY north of Harlech - reopened Sep 2014,www.nwrail.org.uk,
3602,AGV,Abergavenny,Wales - Cymru,Monmouthshire - Sir Fynwy,Monmouthshire - Sir Fynwy,UKL2,East Wales,Arriva Trains Wales,,,," 98,339 "," 66,950 "," 47,238 "," 212,527 "," 98,339 "," 66,950 "," 47,238 "," 212,527 "," 425,054 "," 389,762 ", -   ,0,0,,,
2448,AGL,Abergele & Pensarn,Wales - Cymru,Conwy - Conwy,Conwy - Conwy,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 17,417 "," 15,742 "," 3,662 "," 36,821 "," 17,417 "," 15,742 "," 3,662 "," 36,821 "," 73,642 "," 81,152 ", -   ,0,0,,,
4303,AYW,Aberystwyth,Wales - Cymru,Ceredigion - Sir Ceredigion,Ceredigion - Sir Ceredigion,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 62,398 "," 89,209 ", 262 ," 151,869 "," 62,398 "," 89,209 ", 262 ," 151,869 "," 303,738 "," 307,382 ", -   ,0,0,,,
